,labels,structure,hemisphere,rsn,x,y,z,nvoxels,tSNR
0,MnR,brainstem,M,,0.571426,-30.8571,-19.8571,7,11.70626368
1,PAG_2020,brainstem,M,,0.566666,-32.5733,-8.94444,450,15.62121135
2,SN_subregion1_l,brainstem,L,,-7.70936,-15.4975,-12.0788,406,5.48152727
3,SN_subregion2_l,brainstem,L,,-9.6463,-15.4437,-10.5756,311,6.035059084
4,RN_subregion1_l,brainstem,L,,-5.14054,-16.8649,-7.01621,185,6.87740344
5,RN_subregion2_l,brainstem,L,,-4.34782,-20.1111,-9.16425,207,5.935862751
6,mRT_merged_l,brainstem,L,,-7.49213,-23.3393,-4.15955,445,10.95477961
7,CnF_l,brainstem,L,,-3.09804,-32.7059,-8.17647,51,15.12042186
8,PTg_l,brainstem,L,,-6.88095,-28.7143,-13.4048,42,12.80624787
9,isRT_l,brainstem,L,,-5.60256,-28.6154,-8,78,13.21373223
10,LDTg_CGPn_l,brainstem,L,,-1.46512,-38.3256,-31.5174,172,13.78991053
11,PnO_PnC_l,brainstem,L,,-1.78516,-35.2188,-31.0469,256,13.66631714
12,LC_l,brainstem,L,,-3.41666,-37.5,-25.5,12,15.61267924
13,SubC_l,brainstem,L,,-5.52728,-37.4727,-35.8909,55,13.94412247
14,ION_l,brainstem,L,,-4.51418,-37.1383,-52.1489,282,10.30491503
15,SC_l,brainstem,L,,-4.22222,-31.7901,-4.17284,81,12.29708636
16,IC_l,brainstem,L,,-4.42623,-35.6557,-9.45901,61,13.70023301
17,VTA_PBP_l,brainstem,L,,-4.865,-16.065,-9.625,400,8.468636875
18,MiTg_spth_l,brainstem,L,,-7.88095,-30.8571,-9.40476,42,13.59850958
19,LPB_l,brainstem,L,,-6.75,-37.3068,-20.4886,88,14.1840495
20,MPB_l,brainstem,L,,-4.10448,-36.5224,-23.2537,67,15.68903942
21,Ve_l,brainstem,L,,-5.70588,-41.3726,-37.8088,204,13.83222889
22,PCRtA_l,brainstem,L,,-7.125,-38.25,-40.9583,24,13.04851941
23,SOC_l,brainstem,L,,-4.5,-38.125,-45.1667,24,12.55024091
24,sMRtComb_l,brainstem,L,,-3.80769,-40.4231,-47.0513,78,12.69699196
25,VSM_l,brainstem,L,,-1.91228,-43.8947,-52.6316,114,12.521422
26,iMRtComb_l,brainstem,L,,-3.48875,-43.1029,-56.4373,311,10.80920596
27,RMg,brainstem,M,,0.818184,-37.4545,-44,11,11.78548605
28,ROb,brainstem,M,,0.711113,-41.1333,-52.4222,45,10.21605377
29,RPa,brainstem,M,,0.905937,-36.9109,-52.2327,202,9.410772215
30,iMRtComb_r,brainstem,R,,4.50445,-42.908,-57.6024,337,10.4464213
31,VSM_r,brainstem,R,,3.08108,-43.4504,-52.7928,111,12.35460215
32,sMRtComb_r,brainstem,R,,5.44579,-40.1084,-47.2651,83,12.35210827
33,SOC_r,brainstem,R,,5.90476,-38.0952,-45.1905,21,12.82003244
34,PCRtA_r,brainstem,R,,8.44,-38.08,-40.88,25,12.4990863
35,Ve_r,brainstem,R,,6.77248,-41.1693,-38.1058,189,13.4338406
36,MPB_r,brainstem,R,,5.2,-37.0267,-23.5733,75,15.58634567
37,LPB_r,brainstem,R,,8.24675,-38.1429,-20.8701,77,14.60997061
38,MiTg_spth_r,brainstem,R,,8.65625,-30.9375,-9.6875,32,13.1170603
39,VTA_PBP_r,brainstem,R,,6.72593,-16.316,-9.59506,405,8.186174853
40,IC_r,brainstem,R,,5.5,-35.8103,-9.41379,58,13.7308468
41,SC_r,brainstem,R,,5.47826,-31.2464,-3.78261,69,11.74498598
42,ION_r,brainstem,R,,6.16105,-36.2697,-52.1199,267,9.983762673
43,SubC_r,brainstem,R,,7.25532,-37.3404,-35.1489,47,13.86116492
44,LC_r,brainstem,R,,5,-37.6923,-25.8462,13,15.91741445
45,PnO_PnC_r,brainstem,R,,3.39147,-35.3566,-31.376,258,13.40418858
46,LDTg_CGPn_r,brainstem,R,,2.9871,-38.3806,-31.271,155,13.7086109
47,isRT_r,brainstem,R,,7.0145,-28.2899,-7.76811,69,13.060248
48,PTg_r,brainstem,R,,7.78261,-28.9565,-13.5652,23,12.97179131
49,CnF_r,brainstem,R,,4.60714,-32.375,-8.28571,56,14.78190129
50,mRT_merged_r,brainstem,R,,8.78304,-23.1097,-3.86035,401,10.74318562
51,RN_subregion2_r,brainstem,R,,5.54194,-20.1226,-9.06452,155,5.378231282
52,RN_subregion1_r,brainstem,R,,6.31159,-17.1667,-6.64493,138,6.180900235
53,SN_subregion2_r,brainstem,R,,10.6051,-15.3538,-10.5077,195,5.96981798
54,SN_subregion1_r,brainstem,R,,9.635,-15.88,-11.66,400,5.510015681
55,CLi_RLi,brainstem,M,,0.49102,-23.2455,-9.05988,167,10.19169069
56,DR_2020,brainstem,M,,0.725487,-31.5882,-14.0784,153,15.08902886
57,PMnR,brainstem,M,,0.714287,-31.0952,-20.5714,63,12.43262621
58,STh_subregion1_l,diencephalon,L,,-10.5159,-11.9444,-5.75397,126,6.826478865
59,STh_subregion2_l,diencephalon,L,,-9.23711,-11.7113,-6.49484,97,6.087326996
60,HTH,diencephalon,M,,-0.101921,-3.60841,-9.95932,,
61,STh_subregion2_r,diencephalon,R,,10.4625,-11.425,-6.2125,80,5.807541254
62,STh_subregion1_r,diencephalon,R,,11.1456,-11.3592,-6.56311,103,6.04252446
63,LG_l,diencephalon,L,,-23.4771,-24.6209,-6.31373,153,13.19303853
64,LG_r,diencephalon,R,,23.5924,-24.2484,-5.8344,157,14.11511996
65,MG_l,diencephalon,L,,-14.5556,-28.4444,-3.125,72,10.67377288
66,MG_r,diencephalon,R,,15.3333,-28.0476,-2.53968,63,11.18718921
67,L-Accumbens-area,subcortex,L,,-8.2511,10.788,-7.3991,,
68,L-Amygdala,subcortex,L,,-23.706,-2.5469,-20.649,,
69,L-Hippocampus,subcortex,L,,-24.436,-22.015,-14.5,,
70,L-Pallidum,subcortex,L,,-20.149,-5.6938,-1.0445,,
71,L-Putamen,subcortex,L,,-25.394,0.44851,0.3466,,
72,L-Caudate,subcortex,L,,-12.906,8.4539,10.124,,
73,L-Thalamus-Proper,subcortex,L,,-11.373,-19.314,6.5644,,
74,L-Cereb-Ctx,an,L,,,,,,
75,7Networks_LH_Vis_1,cortex,L,Vis,-33.01671,-40.666262,-20.108519,2797,13.57120718
76,7Networks_LH_Vis_2,cortex,L,Vis,-30.189314,-33.674979,-17.019274,3344,15.25658535
77,7Networks_LH_Vis_3,cortex,L,Vis,-33.816113,-61.94412,-15.734926,2494,18.49538897
78,7Networks_LH_Vis_4,cortex,L,Vis,-25.135867,-54.236794,-7.8282,3169,18.61039943
79,7Networks_LH_Vis_5,cortex,L,Vis,-21.537252,-74.296886,-9.383909,3356,21.16904786
80,7Networks_LH_Vis_6,cortex,L,Vis,-31.138657,-82.318249,-13.623059,2827,18.86449617
81,7Networks_LH_Vis_7,cortex,L,Vis,-16.756229,-38.206279,-10.159268,1483,14.73340305
82,7Networks_LH_Vis_8,cortex,L,Vis,-41.944076,-72.506899,-7.496763,3737,22.50038163
83,7Networks_LH_Vis_9,cortex,L,Vis,-14.281058,-87.614426,-11.789189,2637,22.09443204
84,7Networks_LH_Vis_10,cortex,L,Vis,-13.420459,-61.577599,-4.043707,2175,17.4306918
85,7Networks_LH_Vis_11,cortex,L,Vis,-6.959566,-74.95243,-2.50914,2467,19.80366557
86,7Networks_LH_Vis_12,cortex,L,Vis,-23.642535,-95.230906,-8.616393,4236,20.34262817
87,7Networks_LH_Vis_13,cortex,L,Vis,-12.541885,-42.208284,-3.662206,946,14.59069633
88,7Networks_LH_Vis_14,cortex,L,Vis,-36.617679,-86.7046,-1.854024,3087,22.72342952
89,7Networks_LH_Vis_15,cortex,L,Vis,-10.316175,-96.151613,-4.071397,4087,22.37814021
90,7Networks_LH_Vis_16,cortex,L,Vis,-15.314824,-52.309018,-0.48813,1617,17.08532489
91,7Networks_LH_Vis_17,cortex,L,Vis,-43.95909,-73.904616,5.30809,3440,24.43151716
92,7Networks_LH_Vis_18,cortex,L,Vis,-5.902035,-87.34977,1.17758,3324,24.4085142
93,7Networks_LH_Vis_19,cortex,L,Vis,-24.022328,-94.296507,5.977911,4720,28.16355605
94,7Networks_LH_Vis_20,cortex,L,Vis,-11.056915,-47.808839,3.769009,970,18.22615777
95,7Networks_LH_Vis_21,cortex,L,Vis,-9.126291,-75.735344,8.646087,3735,22.24367165
96,7Networks_LH_Vis_22,cortex,L,Vis,-20.004818,-63.250265,5.852453,1941,20.8524712
97,7Networks_LH_Vis_23,cortex,L,Vis,-36.768975,-83.045641,13.313146,4515,29.0207731
98,7Networks_LH_Vis_24,cortex,L,Vis,-12.525352,-95.497111,14.822498,4743,28.42959172
99,7Networks_LH_Vis_25,cortex,L,Vis,-4.274363,-85.442835,22.153901,3649,25.94867649
100,7Networks_LH_Vis_26,cortex,L,Vis,-12.580034,-71.410825,20.09914,2251,23.39324866
101,7Networks_LH_Vis_27,cortex,L,Vis,-25.336282,-83.770287,20.380733,2783,29.50680032
102,7Networks_LH_Vis_28,cortex,L,Vis,-31.344332,-81.438531,26.316375,1842,31.61197497
103,7Networks_LH_Vis_29,cortex,L,Vis,-15.069563,-86.040497,31.758002,2650,29.81656332
104,7Networks_LH_Vis_30,cortex,L,Vis,-13.475419,-77.104711,34.527662,2025,27.78377122
105,7Networks_LH_Vis_31,cortex,L,Vis,-19.427948,-74.032745,43.113854,2043,31.24063019
106,7Networks_LH_SomMot_1,cortex,L,SomMot,-48.797519,-11.986358,1.151272,3125,17.51214283
107,7Networks_LH_SomMot_2,cortex,L,SomMot,-53.649095,-23.34232,7.450086,3982,17.01739552
108,7Networks_LH_SomMot_3,cortex,L,SomMot,-36.153648,-22.771245,8.026276,1214,19.47036904
109,7Networks_LH_SomMot_4,cortex,L,SomMot,-38.197926,-7.777169,12.736891,1985,21.87985577
110,7Networks_LH_SomMot_5,cortex,L,SomMot,-35.563359,-25.889136,17.905696,1435,20.02120768
111,7Networks_LH_SomMot_6,cortex,L,SomMot,-55.047037,-38.415071,16.496972,2358,20.14259306
112,7Networks_LH_SomMot_7,cortex,L,SomMot,-41.214449,-34.555542,15.010108,1621,19.94883409
113,7Networks_LH_SomMot_8,cortex,L,SomMot,-46.867364,-15.316317,16.414384,1906,20.87614038
114,7Networks_LH_SomMot_9,cortex,L,SomMot,-58.262778,-4.604571,12.466652,1804,22.33315817
115,7Networks_LH_SomMot_10,cortex,L,SomMot,-47.680643,-25.245772,18.876233,1631,21.47404109
116,7Networks_LH_SomMot_11,cortex,L,SomMot,-57.645332,-19.474327,20.590543,1600,22.72542726
117,7Networks_LH_SomMot_12,cortex,L,SomMot,-56.950821,-4.530404,23.066305,2246,23.59980051
118,7Networks_LH_SomMot_13,cortex,L,SomMot,-60.529895,-12.095838,29.924991,1640,25.46940662
119,7Networks_LH_SomMot_14,cortex,L,SomMot,-50.609014,-10.377459,28.875415,1458,22.19961023
120,7Networks_LH_SomMot_15,cortex,L,SomMot,-53.530656,-21.6074,38.991053,1498,26.53514444
121,7Networks_LH_SomMot_16,cortex,L,SomMot,-48.003673,-8.938119,41.172038,2388,24.91555433
122,7Networks_LH_SomMot_17,cortex,L,SomMot,-46.485826,-16.879435,38.24947,1389,23.49087263
123,7Networks_LH_SomMot_18,cortex,L,SomMot,-8.644323,-14.851623,45.78342,2531,19.47455017
124,7Networks_LH_SomMot_19,cortex,L,SomMot,-38.88288,-15.294686,46.034419,1527,25.33594156
125,7Networks_LH_SomMot_20,cortex,L,SomMot,-46.397239,-20.126652,51.795124,1646,26.20027511
126,7Networks_LH_SomMot_21,cortex,L,SomMot,-44.34311,-30.052582,53.169974,2774,27.20592497
127,7Networks_LH_SomMot_22,cortex,L,SomMot,-36.885765,-25.450581,49.702388,983,25.91789055
128,7Networks_LH_SomMot_23,cortex,L,SomMot,-9.513195,-37.089298,53.194381,1095,24.08607989
129,7Networks_LH_SomMot_24,cortex,L,SomMot,-4.973234,-22.341292,54.510617,1694,21.15864159
130,7Networks_LH_SomMot_25,cortex,L,SomMot,-4.841285,-8.347084,59.294288,2019,22.16779703
131,7Networks_LH_SomMot_26,cortex,L,SomMot,-33.481124,-19.556182,59.802591,3730,26.95086925
132,7Networks_LH_SomMot_27,cortex,L,SomMot,-29.993581,-45.107796,59.20503,2757,32.45707485
133,7Networks_LH_SomMot_28,cortex,L,SomMot,-32.085183,-30.434727,59.084075,2131,28.26216972
134,7Networks_LH_SomMot_29,cortex,L,SomMot,-29.809343,-37.43372,61.159542,2245,31.45280941
135,7Networks_LH_SomMot_30,cortex,L,SomMot,-25.354751,-11.496116,60.752604,2919,29.42232007
136,7Networks_LH_SomMot_31,cortex,L,SomMot,-20.670041,-25.742655,62.557829,1098,28.08978756
137,7Networks_LH_SomMot_32,cortex,L,SomMot,-9.217099,-41.395007,68.045347,2162,28.35339055
138,7Networks_LH_SomMot_33,cortex,L,SomMot,-5.476528,-25.167357,66.968616,2717,25.03683936
139,7Networks_LH_SomMot_34,cortex,L,SomMot,-16.838266,-12.716328,68.556279,1836,30.52145516
140,7Networks_LH_SomMot_35,cortex,L,SomMot,-17.794204,-32.142135,64.980673,2186,30.36764264
141,7Networks_LH_SomMot_36,cortex,L,SomMot,-19.047393,-38.433253,67.906031,2064,34.11866605
142,7Networks_LH_SomMot_37,cortex,L,SomMot,-12.669635,-26.347616,69.619818,900,30.50382153
143,7Networks_LH_DorsAttn_Post_1,cortex,L,DorsAttn,-44.39567,-40.428498,-20.315832,2928,10.06878367
144,7Networks_LH_DorsAttn_Post_2,cortex,L,DorsAttn,-45.845726,-55.4657,-13.283169,4725,17.26439945
145,7Networks_LH_DorsAttn_Post_3,cortex,L,DorsAttn,-50.939953,-62.091034,-0.617639,4434,21.90443289
146,7Networks_LH_DorsAttn_Post_4,cortex,L,DorsAttn,-45.692934,-66.335385,13.536033,2816,25.84045001
147,7Networks_LH_DorsAttn_Post_5,cortex,L,DorsAttn,-25.707431,-70.717751,32.183094,1339,29.26700558
148,7Networks_LH_DorsAttn_Post_6,cortex,L,DorsAttn,-52.869609,-31.275044,40.416989,2465,29.43693183
149,7Networks_LH_DorsAttn_Post_7,cortex,L,DorsAttn,-24.910038,-64.193045,47.279025,2058,28.80909885
150,7Networks_LH_DorsAttn_Post_8,cortex,L,DorsAttn,-44.609262,-30.842897,41.5809,1627,27.53682221
151,7Networks_LH_DorsAttn_Post_9,cortex,L,DorsAttn,-35.143232,-46.028421,42.892598,2012,27.70378821
152,7Networks_LH_DorsAttn_Post_10,cortex,L,DorsAttn,-29.200624,-55.8858,48.085604,1261,29.48076131
153,7Networks_LH_DorsAttn_Post_11,cortex,L,DorsAttn,-38.294456,-38.720461,47.163916,2319,27.78485831
154,7Networks_LH_DorsAttn_Post_12,cortex,L,DorsAttn,-32.07462,-49.829807,51.993371,1637,30.27225417
155,7Networks_LH_DorsAttn_Post_13,cortex,L,DorsAttn,-16.429429,-65.101077,56.41483,3135,28.16564402
