roi_list1,roi_list2,index_list2,region,side,networks,x,y,z,volume,braak,rbd_relevant,motor,arousal
MnR,MnR,22,brainstem,M,,0.571426,-30.8571,-19.8571,7,1,1,,
PAG_2020,PAG,23,brainstem,M,,0.566666,-32.5733,-8.94444,450,1,1,,
SN_subregion1_l,SN1_l,42,brainstem,L,,-7.70936,-15.4975,-12.0788,406,1,1,,
SN_subregion2_l,SN2_l,44,brainstem,L,,-9.6463,-15.4437,-10.5756,311,1,1,,
RN_subregion1_l,RN1_l,32,brainstem,L,,-5.14054,-16.8649,-7.01621,185,,,,
RN_subregion2_l,RN2_l,34,brainstem,L,,-4.34782,-20.1111,-9.16425,207,,,,
mRT_merged_l,mRt_l,72,brainstem,L,,-7.49213,-23.3393,-4.15955,445,,,,
CnF_l,CnF_l,1,brainstem,L,,-3.09804,-32.7059,-8.17647,51,,,,
PTg_l,PTg_l,27,brainstem,L,,-6.88095,-28.7143,-13.4048,42,1,1,,
isRT_l,isRT_l,70,brainstem,L,,-5.60256,-28.6154,-8,78,,,,
LDTg_CGPn_l,LDTg_CGPn_l,10,brainstem,L,,-1.46512,-38.3256,-31.5174,172,,1,,
PnO_PnC_l,PnO_PnC_l,29,brainstem,L,,-1.78516,-35.2188,-31.0469,256,1,1,,
LC_l,LC_l,8,brainstem,L,,-3.41666,-37.5,-25.5,12,1,1,,
SubC_l,SubC_l,56,brainstem,L,,-5.52728,-37.4727,-35.8909,55,1,1,,
ION_l,ION_l,6,brainstem,L,,-4.51418,-37.1383,-52.1489,282,,,,
SC_l,SC_l,40,brainstem,L,,-4.22222,-31.7901,-4.17284,81,,,,
IC_l,IC_l,4,brainstem,L,,-4.42623,-35.6557,-9.45901,61,,,,
VTA_PBP_l,VTA_PBP_l,60,brainstem,L,,-4.865,-16.065,-9.625,400,,,,
MiTg_spth_l,MiTg_PBG_l,20,brainstem,L,,-7.88095,-30.8571,-9.40476,42,,,,
LPB_l,LPB_l,14,brainstem,L,,-6.75,-37.3068,-20.4886,88,,,,
MPB_l,MPB_l,18,brainstem,L,,-4.10448,-36.5224,-23.2537,67,,,,
Ve_l,Ve_l,62,brainstem,L,,-5.70588,-41.3726,-37.8088,204,1,1,,
PCRtA_l,PCRtA_l,24,brainstem,L,,-7.125,-38.25,-40.9583,24,1,1,,
SOC_l,SOC_l,48,brainstem,L,,-4.5,-38.125,-45.1667,24,,,,
sMRtComb_l,sMRt_l,80,brainstem,L,,-3.80769,-40.4231,-47.0513,78,1,1,,
VSM_l,VSM_l,58,brainstem,L,,-1.91228,-43.8947,-52.6316,114,1,,,
iMRtComb_l,iMRt_l,64,brainstem,L,,-3.48875,-43.1029,-56.4373,311,1,1,,
RMg,RMg,31,brainstem,M,,0.818184,-37.4545,-44,11,1,1,,
ROb,ROb,38,brainstem,M,,0.711113,-41.1333,-52.4222,45,1,,,
