nucleus,p_sc_deltaR2,sig_sc_deltaR2,R2_base_dist_vol,R2_full_dist_vol_sc,delta_R2
CLi_RLi,0.000999000999000999,True,0.05140260946523467,0.0862023619970681,0.03479975253183343
RN_subregion1_l,0.003996003996003996,True,0.14389837546399475,0.251351329489075,0.10745295402508026
RPa,0.003996003996003996,True,0.042082032806009306,0.0813193568496805,0.039237324043671196
VTA_PBP_l,0.01098901098901099,True,0.10152786058878915,0.2979186094919616,0.19639074890317243
VTA_PBP_r,0.017982017982017984,True,0.111869389535037,0.30497677987740834,0.19310739034237134
RN_subregion2_l,0.02197802197802198,True,0.0710859953519355,0.14549108112085563,0.07440508576892013
SN_subregion2_l,0.027972027972027972,True,0.16143253135412994,0.19365416801252489,0.03222163665839495
Ve_l,0.03496503496503497,True,0.050843669306278594,0.05683966259574291,0.005995993289464319
SC_l,0.04095904095904096,True,0.01299101467585273,0.07046132926715087,0.057470314591298144
LDTg_CGPn_l,0.04395604395604396,True,0.03219462042259058,0.05765160553717397,0.025456985114583386
LDTg_CGPn_r,0.04495504495504495,True,0.02930347868340022,0.05282376503093955,0.023520286347539332
ION_l,0.04595404595404595,True,0.037861440434376115,0.07734593465742523,0.039484494223049116
sMRtComb_r,0.04595404595404595,True,0.03436979795464601,0.04279441905852799,0.00842462110388198
ROb,0.04695304695304695,True,0.016023336268039423,0.05809173283286073,0.04206839656482131
SN_subregion1_r,0.04895104895104895,True,0.18391861728740122,0.22329981673605226,0.03938119944865104
RN_subregion2_r,0.053946053946053944,False,0.09938509565015696,0.15260648043788272,0.053221384787725756
PAG_2020,0.060939060939060936,False,0.007618950269423608,0.019528581203504425,0.011909630934080817
MiTg_spth_l,0.06893106893106893,False,0.018347978204514614,0.07253080302125003,0.05418282481673542
SOC_r,0.07192807192807193,False,0.08255164558231409,0.08659053682569251,0.004038891243378417
iMRtComb_l,0.07392607392607392,False,0.041996185224006166,0.04817111994071854,0.006174934716712377
VSM_l,0.07692307692307693,False,0.023023706962711055,0.08800241029556422,0.06497870333285316
SubC_r,0.08791208791208792,False,0.051220255320594044,0.05645525695988918,0.005235001639295134
VSM_r,0.11188811188811189,False,0.025748121384535305,0.044456059222228506,0.0187079378376932
IC_r,0.12087912087912088,False,0.011458836273170236,0.015963103096008457,0.004504266822838221
RN_subregion1_r,0.15084915084915085,False,0.151572914438436,0.25973076138830864,0.10815784694987263
DR_2020,0.17182817182817184,False,0.0009065691767824458,0.050910945773814165,0.05000437659703172
isRT_r,0.18281718281718282,False,0.0025386099288964292,0.0025392216529599443,6.117240635150623e-07
PTg_l,0.2057942057942058,False,0.023892624944629848,0.02390173814306562,9.113198435772851e-06
SN_subregion1_l,0.2097902097902098,False,0.18937898564187916,0.25022583969151035,0.060846854049631194
MnR,0.2727272727272727,False,0.024049925410843942,0.10530225180332264,0.0812523263924787
SN_subregion2_r,0.2787212787212787,False,0.1067209325179197,0.1380755597768356,0.03135462725891591
iMRtComb_r,0.3006993006993007,False,0.03740088273919151,0.037448735737700245,4.7852998508735034e-05
IC_l,0.4035964035964036,False,0.006985176208713195,0.008429055589171286,0.0014438793804580907
LC_l,0.4045954045954046,False,0.01571079795815844,0.03847021585758814,0.0227594178994297
isRT_l,0.45754245754245754,False,0.016896179001464118,0.01713571417486548,0.00023953517340136177
CnF_r,0.4955044955044955,False,0.002231935134687446,0.006483484850672738,0.004251549715985292
mRT_merged_r,0.4965034965034965,False,0.026932875119299426,0.07341402051715473,0.046481145397855306
sMRtComb_l,0.5044955044955045,False,0.043908685111024304,0.05649123926676769,0.012582554155743386
LPB_l,0.5414585414585414,False,0.08351241543909493,0.08493062366029658,0.0014182082212016445
SubC_l,0.5864135864135864,False,0.039992868899202616,0.04179330832441097,0.0018004394252083555
MPB_r,0.6153846153846154,False,0.052910070800197495,0.06090794801695931,0.007997877216761817
PnO_PnC_r,0.6293706293706294,False,0.05002708187260718,0.07953152241159,0.029504440538982823
MPB_l,0.6403596403596403,False,0.044168008811619974,0.04450204536795932,0.0003340365563393455
PMnR,0.6823176823176823,False,0.00030991056021001384,0.013099736478870416,0.012789825918660402
SOC_l,0.7072927072927073,False,0.013100158361115999,0.03702717270230926,0.023927014341193265
Ve_r,0.7162837162837162,False,0.05197942485156992,0.05560554723126809,0.003626122379698171
MiTg_spth_r,0.7552447552447552,False,0.0011568919936347788,0.0052197010487569084,0.00406280905512213
ION_r,0.7592407592407593,False,0.014513619897034369,0.031460153646855504,0.016946533749821135
PnO_PnC_l,0.7802197802197802,False,0.045929623930023866,0.07384234458489736,0.02791272065487349
LPB_r,0.8161838161838162,False,0.017834054988594916,0.02000432740686331,0.002170272418268393
mRT_merged_l,0.8461538461538461,False,0.021041903941222295,0.05294961935794906,0.03190771541672677
PTg_r,0.906093906093906,False,0.012688754278804781,0.01699034194595228,0.0043015876671474995
SC_r,0.9140859140859141,False,0.0035956261845331294,0.012733854611753359,0.00913822842722023
CnF_l,0.9340659340659341,False,0.010995063760933954,0.012089906866605382,0.001094843105671428
LC_r,0.9600399600399601,False,0.038373271471563,0.04424277205434446,0.005869500582781462
RMg,0.964035964035964,False,0.004244561170534178,0.038340082973208456,0.03409552180267428
PCRtA_r,0.9790209790209791,False,0.004132478823678731,0.005142140140865004,0.0010096613171862723
PCRtA_l,0.985014985014985,False,0.017255370045220153,0.027330197703077097,0.010074827657856944
